ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,193453771289,20,0210,000000,GPMPOS,147430,2264,429,2694,144736
0012,860025619836,13,0210,000000,GPMPOS,37940,565,107,673,37267
0012,776101962748,10,0210,000000,GPMPOS,51295,764,146,909,50386
0012,109962645515,41,0210,000000,GPMPOS,124660,1917,365,2272,122388
0012,242341342571,72,0210,000000,GPMPOS,358800,5509,1050,6559,352242
0012,745805988175,9,0210,000000,GPMPOS,93900,1399,266,1665,92235
0012,100167727304,45,0210,000000,GPMPOS,192470,2867,548,3412,189058
0012,169299073208,22,0210,000000,GPMPOS,90560,1350,256,1604,88956
0012,877745481045,2,0210,000000,GPMPOS,10050,150,28,179,9871
0012,171131608897,33,0210,000000,GPMPOS,104790,1564,295,1859,102931
0012,244229499905,38,0210,000000,GPMPOS,87980,1388,265,1649,86331
0012,773708506418,30,0210,000000,GPMPOS,129784,2154,411,2563,127221
0012,103086374933,84,0210,000000,GPMPOS,472680,7046,1338,8381,464299
0012,103576835099,23,0210,000000,GPMPOS,65120,1003,190,1193,63927
0012,180327027032,14,0210,000000,GPMPOS,34350,512,96,607,33743
0012,827437858577,4,0210,000000,GPMPOS,39550,589,112,701,38849
0012,141844598910,15,0210,000000,GPMPOS,40640,605,116,721,39919
0012,218936674829,13,0210,000000,GPMPOS,35260,586,112,698,34562
0012,108356405361,52,0210,000000,GPMPOS,176620,2931,565,3490,173130
0012,971586660364,31,0210,000000,GPMPOS,109200,0,0,0,109200
0012,225828061696,39,0210,000000,GPMPOS,106680,1595,303,1897,104783
0012,135359520595,22,0210,000000,GPMPOS,94110,1436,271,1707,92403
0012,165357833830,15,0210,000000,GPMPOS,34900,520,99,617,34283
0012,119213799247,39,0210,000000,GPMPOS,129750,1933,369,2298,127452
0012,168499031558,4,0210,000000,GPMPOS,14600,217,41,258,14342
0012,164187332053,19,0210,000000,GPMPOS,84460,1261,239,1498,82962
0012,107962982746,1,0210,000000,GPMPOS,500,7,1,9,491
0012,154670320812,5,0210,000000,GPMPOS,28500,423,80,505,27995
0012,152146530581,3,0210,000000,GPMPOS,11150,0,0,0,11150
0012,134042211762,25,0210,000000,GPMPOS,88850,1324,251,1575,87275
0012,128779473685,48,0210,000000,GPMPOS,219600,3301,631,3923,215677
0012,706657883324,13,0210,000000,GPMPOS,61890,922,176,1098,60792
0012,135881337748,12,0210,000000,GPMPOS,66800,995,189,1185,65615
0012,172802069427,31,0210,000000,GPMPOS,181700,2737,520,3257,178443
0012,772404999506,4,0210,000000,GPMPOS,140600,2095,398,2492,138108
0012,100814111712,150,0210,000000,GPMPOS,1504340,22905,4349,27250,1477090
0012,152761158710,7,0210,000000,GPMPOS,17800,264,51,317,17483
0012,195833528251,9,0210,000000,GPMPOS,28110,418,80,499,27611
0012,143220303028,13,0210,000000,GPMPOS,61560,943,179,1122,60438
0012,957390532962,14,0210,000000,GPMPOS,62150,925,178,1102,61048
0012,776028699398,24,0210,000000,GPMPOS,124750,1862,352,2211,122539
0012,159197159125,101,0210,000000,GPMPOS,406340,6256,1188,7441,398900
0012,118744865999,9,0210,000000,GPMPOS,31570,471,89,560,31010
0012,768859682805,18,0210,000000,GPMPOS,118430,1765,336,2101,116329
0012,701647258265,15,0210,000000,GPMPOS,42050,623,119,745,41305
0012,181370640783,11,0210,000000,GPMPOS,38180,570,109,677,37503
0012,166033475102,22,0210,000000,GPMPOS,86300,1306,248,1554,84746
0012,227211581417,20,0210,000000,GPMPOS,255900,3993,760,4750,251150
0012,943672823058,11,0210,000000,GPMPOS,77890,1160,220,1380,76510
0012,114872196715,14,0210,000000,GPMPOS,68750,1025,196,1219,67531
0012,136832047118,24,0210,000000,GPMPOS,98600,1470,278,1748,96852
0012,908276474047,3,0210,000000,GPMPOS,11350,169,32,201,11149
0012,256709300928,1,0210,000000,GPMPOS,1000,20,4,24,976
0012,106259872889,23,0210,000000,GPMPOS,130530,1946,370,2316,128214
0012,176471732544,28,0210,000000,GPMPOS,67720,1008,192,1200,66520
0012,781598825405,13,0210,000000,GPMPOS,66560,1031,196,1226,65334
0012,767666089007,39,0210,000000,GPMPOS,144680,2302,438,2737,141943
0012,846115996606,21,0210,000000,GPMPOS,68750,1026,197,1218,67532
0012,125055540094,20,0210,000000,GPMPOS,64270,1037,199,1233,63037
0012,764100695521,1,0210,000000,GPMPOS,3450,51,10,61,3389
0012,108179909436,25,0210,000000,GPMPOS,123520,1841,349,2190,121330
0012,145729368218,142,0210,000000,GPMPOS,538310,8411,1601,10010,528300
0012,775168476455,11,0210,000000,GPMPOS,65300,974,186,1157,64143
0012,252664282411,18,0210,000000,GPMPOS,55310,946,178,1127,54183
0012,106670143530,19,0210,000000,GPMPOS,113700,1697,322,2017,111683
0012,771161957742,33,0210,000000,GPMPOS,416600,6689,1270,7959,408642
0012,769529667064,39,0210,000000,GPMPOS,133350,2031,388,2413,130937
0012,232684561188,14,0210,000000,GPMPOS,64360,970,186,1153,63207
0012,183895708699,4,0210,000000,GPMPOS,21200,316,59,376,20824
0012,155377457346,50,0210,000000,GPMPOS,181160,2764,522,3283,177877
0012,159656491735,1,0210,000000,GPMPOS,10000,149,28,177,9823
0012,829815694715,3,0210,000000,GPMPOS,19580,291,55,347,19233
0012,869543009661,4,0210,000000,GPMPOS,11000,165,31,194,10806
0012,125004707064,47,0210,000000,GPMPOS,188720,2812,536,3344,185376
0012,937824216469,6,0210,000000,GPMPOS,46190,687,131,819,45371
0012,127476359759,4,0210,000000,GPMPOS,15300,227,42,272,15028
0012,109685797371,5,0210,000000,GPMPOS,31300,466,89,554,30746
0012,957189862851,24,0210,000000,GPMPOS,99410,1482,284,1763,97647
0012,246249867241,4,0210,000000,GPMPOS,8430,140,27,166,8264
0012,159522691057,15,0210,000000,GPMPOS,67140,1000,194,1189,65951
0012,830694725399,9,0210,000000,GPMPOS,64760,966,183,1149,63611
0012,102560979671,59,0210,000000,GPMPOS,228440,3403,645,4051,224389
0012,236114708499,26,0210,000000,GPMPOS,101290,1509,285,1797,99493
0012,774179101915,11,0210,000000,GPMPOS,77000,1147,216,1365,75635
0012,258859020908,113,0210,000000,GPMPOS,573470,8585,1627,10211,563259
0012,770791443681,17,0210,000000,GPMPOS,107950,1609,306,1914,106036
0012,130461161156,14,0210,000000,GPMPOS,37940,564,108,675,37265
0012,776121862040,48,0210,000000,GPMPOS,520513,7862,1487,9350,511164
0012,185895775505,9,0210,000000,GPMPOS,21290,316,61,376,20914
0012,146858590227,1,0210,000000,GPMPOS,2000,30,6,35,1965
0012,137170879741,5,0210,000000,GPMPOS,24400,365,68,432,23968
0012,105503105753,18,0210,000000,GPMPOS,106800,1756,333,2087,104713
0012,800112193172,27,0210,000000,GPMPOS,103660,1700,325,2026,101634
0012,158172925186,36,0210,000000,GPMPOS,167460,2527,479,3008,164452
0012,762432997769,47,0210,000000,GPMPOS,103800,1596,301,1898,101902
0012,195272612081,44,0210,000000,GPMPOS,139320,2200,417,2612,136708
0012,123887796709,23,0210,000000,GPMPOS,94850,1414,269,1681,93169
0012,120883345041,28,0210,000000,GPMPOS,106310,1582,300,1886,104424
0012,106980505112,12,0210,000000,GPMPOS,57400,935,178,1112,56288
0012,553409665791,19,0210,000000,GPMPOS,62840,1067,204,1269,61571
0012,695304590725,6,0210,000000,GPMPOS,13210,215,41,256,12954
0012,163154855326,20,0210,000000,GPMPOS,76870,1147,217,1363,75507
0012,776326365086,10,0210,000000,GPMPOS,73200,1152,220,1370,71831
